Species,Weight,Length1,Length2,Length3,Height,Width
Perch,385.71,23.28,27.19,29.43,7.61,4.24
Roach,152.05,19.68,22.72,23.72,6.25,3.6
Parkki,137.75,19.19,20.7,22.74,8.19,3.16
Whitefish,481.52,25.55,28.65,31.42,9.76,4.87
Perch,204.82,26.14,26.05,27.5,6.92,4.69
Parkki,140.65,17.82,18.98,24.36,8.62,3.04
Pike,707.34,39.2,43.28,45.89,7.51,4.97
Bream,642.54,31.01,32.45,40.04,14.58,5.32
Pike,693.19,41.3,46.37,45.89,7.51,5.0
Whitefish,293.76,27.95,29.52,30.8,8.87,5.22
Bream,630.19,31.31,32.45,36.57,14.58,5.39
Roach,159.65,21.68,22.27,24.35,6.83,3.62
Perch,198.55,27.18,25.53,30.94,6.58,4.54
Perch,377.99,24.98,26.31,30.64,6.64,4.07
Bream,634.4,31.92,31.78,37.97,15.1,5.07
Perch,397.28,24.25,26.31,27.77,7.77,4.59
Whitefish,463.0,27.15,27.44,32.03,9.67,5.27
Whitefish,306.0,25.34,29.4,30.18,8.78,4.63
Roach,141.6,21.47,21.14,25.6,6.45,3.77
Perch,206.91,25.09,25.53,26.68,7.27,4.24
Whitefish,439.85,27.15,28.94,33.04,9.19,4.77
Smelt,10.3,10.85,12.39,13.74,2.2,1.26
Parkki,146.45,18.91,19.97,24.13,8.54,3.23
Parkki,140.65,19.0,20.76,24.13,8.87,3.2
Parkki,154.87,18.18,19.97,21.65,8.45,3.14
Pike,735.63,40.02,41.28,45.89,7.58,4.82
Parkki,157.87,19.95,18.98,22.97,8.11,3.39
Pike,721.48,42.5,44.29,45.8,7.64,4.82
Smelt,9.7,10.96,12.33,12.55,2.25,1.26
Parkki,148.85,18.18,20.76,22.53,8.28,3.14
Pike,535.5,41.26,44.72,45.89,7.22,4.82
Parkki,137.75,18.24,19.97,22.75,8.62,3.42
Whitefish,293.76,24.58,28.07,30.18,9.19,4.68
Roach,153.4,20.5,21.83,23.97,6.9,3.71
Bream,640.5,31.82,34.1,38.5,14.8,5.21
Pike,679.04,38.5,42.57,46.72,7.22,4.9
Parkki,147.35,17.64,20.56,22.27,8.45,3.14
Bream,636.36,31.01,32.45,37.73,15.1,5.12
Parkki,144.34,18.05,20.08,22.04,8.63,3.01
Pike,484.5,40.43,43.28,44.88,7.64,4.8
Whitefish,486.15,24.58,27.72,32.34,9.38,4.45
Whitefish,444.48,26.35,27.16,33.36,9.04,4.82
Roach,148.97,21.32,23.39,25.84,6.49,3.51
Parkki,142.84,18.73,21.32,23.2,8.71,3.13
Pike,671.97,41.7,41.71,48.73,7.79,4.97
Parkki,151.86,18.43,19.38,23.9,8.54,3.11
Parkki,140.65,17.45,21.53,21.65,8.54,3.11
Parkki,145.0,18.0,20.91,22.27,9.25,3.17
Roach,159.65,20.09,23.14,24.1,6.45,3.58
Roach,148.97,21.32,23.36,26.09,6.84,3.62
Bream,591.7,28.79,31.35,40.27,14.21,5.21
Parkki,142.84,19.38,20.56,23.43,8.36,3.26
Parkki,150.35,17.27,21.32,23.2,8.63,3.14
Smelt,11.64,11.19,11.96,12.94,2.09,1.32
Perch,370.28,24.01,24.75,28.05,7.2,4.07
Bream,586.94,29.79,33.99,37.2,15.94,5.54
Whitefish,472.26,27.68,28.0,31.11,8.34,4.87
Whitefish,453.74,25.34,28.65,31.45,9.13,4.68
Roach,146.03,21.26,23.39,23.86,6.76,3.47
Pike,742.7,39.2,44.72,47.78,7.51,5.11
Whitefish,444.48,26.62,28.65,30.5,9.22,4.78
Whitefish,449.11,25.09,26.6,29.26,10.05,4.63
Pike,515.1,41.3,41.95,43.51,7.49,5.15
Bream,579.5,31.21,34.65,36.57,14.42,5.16
Bream,603.9,31.82,31.45,36.57,14.88,5.43
Perch,198.55,23.28,28.32,30.64,6.99,4.36
Bream,605.47,31.21,33.44,38.12,15.03,5.64
Smelt,11.18,10.85,12.04,13.08,2.18,1.34
Smelt,12.1,11.18,11.21,13.08,2.29,1.29
Pike,499.8,40.02,44.72,47.63,7.07,4.8
Smelt,10.1,11.07,11.72,13.62,2.12,1.29
Pike,489.6,40.85,46.37,45.8,7.51,4.75
Bream,630.19,30.4,31.45,38.88,14.36,5.54
Whitefish,476.89,26.88,27.44,30.18,9.96,4.97
Bream,591.7,30.4,34.76,38.12,15.18,5.44
Perch,385.71,23.52,27.19,30.34,6.78,4.24
Perch,200.64,25.88,28.32,28.53,8.16,4.73
Bream,630.19,30.4,34.1,38.5,14.58,5.16
Parkki,137.75,18.73,20.17,22.09,8.19,3.13
Parkki,149.35,17.64,20.76,22.27,8.62,3.42
Perch,377.99,27.18,25.79,27.23,7.2,4.07
Bream,617.83,31.31,33.66,36.44,15.7,5.7
Whitefish,476.89,25.28,27.5,30.82,8.87,4.97
Bream,603.9,28.88,31.45,37.59,15.4,5.02
Perch,209.0,25.88,28.04,28.05,7.06,4.15
Parkki,142.84,19.38,20.29,23.66,8.11,3.42
Parkki,137.75,19.09,19.87,21.87,8.8,3.36
Bream,585.6,31.92,34.65,39.27,14.42,5.64
Whitefish,486.15,25.09,26.6,30.18,10.05,4.68
Whitefish,299.88,25.28,30.39,31.45,9.09,4.77
Perch,377.99,24.83,26.31,28.6,8.0,4.73
Bream,605.47,29.79,33.33,40.43,14.8,5.28
Perch,206.91,25.35,25.53,31.54,8.32,4.69
Smelt,9.9,11.29,11.6,13.49,2.16,1.33
Bream,591.7,30.91,32.12,38.74,14.88,5.02
Smelt,11.52,11.18,11.6,13.87,2.2,1.4
Smelt,9.9,11.98,11.84,13.34,2.18,1.25
Whitefish,467.63,24.32,28.84,31.14,8.69,4.82
Pike,484.5,41.7,45.04,43.97,7.29,5.0
Smelt,10.2,11.07,12.39,13.21,2.23,1.33
Pike,525.3,41.7,43.0,45.41,7.41,4.97
Bream,630.19,31.82,34.76,38.12,15.34,5.64
Parkki,145.84,17.45,20.91,23.66,8.53,3.14
Bream,628.3,30.7,33.66,40.43,14.73,5.59
Roach,148.97,21.53,22.25,24.47,6.49,3.64
Roach,146.03,21.53,22.47,23.72,6.9,3.77
Bream,648.72,29.4,32.01,36.44,14.58,5.43
Perch,389.56,26.66,26.83,26.95,7.27,4.78
Bream,630.19,30.61,32.45,39.5,14.66,5.43
Pike,494.7,41.67,43.28,45.8,7.26,4.63
Smelt,9.7,11.98,11.84,12.94,2.2,1.28
Bream,597.8,31.31,31.68,37.97,14.88,5.07
Whitefish,481.52,27.68,26.6,33.36,9.13,4.49
Whitefish,293.76,27.15,28.0,32.09,9.04,4.59
Smelt,10.0,10.96,11.45,12.84,2.27,1.29
Smelt,10.0,10.73,11.96,13.08,2.31,1.36
Roach,159.65,20.5,23.14,25.6,6.9,3.47
Parkki,144.34,18.91,19.58,22.31,8.79,3.01
Parkki,143.55,17.82,20.37,22.97,9.25,3.39
Parkki,145.84,19.09,19.97,21.21,8.19,3.23
Pike,735.63,38.9,42.39,45.34,6.93,4.77
Whitefish,315.18,26.37,27.16,29.26,9.19,5.17
Bream,586.94,29.18,32.67,40.27,14.58,5.59
Bream,579.5,29.09,34.1,38.5,14.36,5.44
Perch,211.09,23.04,28.89,28.32,8.16,3.95
Perch,374.13,24.73,27.19,28.05,7.13,4.07
Pike,735.63,40.1,41.95,45.89,7.19,5.06
Whitefish,449.11,24.32,27.5,33.04,9.57,5.27
Roach,144.55,20.03,22.27,24.47,6.77,3.62
Bream,636.36,31.92,34.43,39.5,14.8,5.23
Pike,679.04,39.2,43.0,47.31,7.14,4.63
Bream,622.2,31.82,32.01,38.74,14.36,5.54
Roach,140.12,21.12,22.05,25.84,6.96,3.71
Pike,489.6,40.02,43.72,44.94,7.07,5.1
Pike,520.2,41.26,44.72,47.17,7.64,5.1
Bream,610.0,29.18,32.78,39.12,15.1,5.16
Perch,381.85,26.14,25.01,28.05,8.32,5.02
Parkki,157.87,17.27,20.08,22.53,8.79,3.07
Bream,630.19,31.31,31.35,37.2,15.79,5.64
Whitefish,315.18,24.32,27.72,33.36,9.38,5.22
Parkki,156.37,19.76,20.91,23.43,8.53,3.19
Roach,150.53,20.91,22.25,25.6,6.64,3.47
Whitefish,449.11,27.95,27.72,32.03,8.51,4.92
Roach,145.97,20.44,22.47,25.6,6.71,3.49
Pike,535.5,40.02,43.72,48.73,7.0,4.77
Roach,150.45,21.47,21.38,24.6,6.58,3.73
Pike,484.5,40.02,45.15,45.89,7.71,5.2
Perch,401.13,24.01,28.32,26.95,8.32,4.07
Bream,636.36,30.7,32.67,40.04,15.4,5.43
Roach,155.09,21.47,21.8,25.84,6.49,3.46
Parkki,145.84,19.95,19.77,24.13,8.54,3.13
Pike,714.41,38.5,45.04,46.36,7.86,4.8
Whitefish,299.88,25.34,26.88,33.04,9.67,4.87
Whitefish,463.0,27.15,26.6,30.82,9.04,4.49
Pike,525.3,40.9,40.85,46.36,7.29,4.68
Smelt,11.52,11.52,11.92,12.94,2.27,1.32
Perch,204.82,27.18,28.89,30.64,7.53,4.88
Roach,151.93,20.23,23.17,23.97,6.32,3.66
Smelt,9.4,11.75,12.21,13.1,2.29,1.24
Bream,579.5,29.18,32.67,38.88,14.66,5.59
Perch,397.28,24.83,25.53,31.54,6.64,4.11
Roach,146.03,21.12,21.16,24.22,6.45,3.69
Whitefish,472.26,27.41,28.36,32.09,8.6,4.82
Perch,370.28,26.66,26.31,28.88,7.06,4.88
Bream,628.3,29.7,31.35,38.74,14.21,5.33
Parkki,137.75,19.95,21.11,21.87,9.16,3.26
Smelt,11.87,10.96,12.39,12.84,2.16,1.29
Parkki,150.35,18.73,20.49,22.09,8.36,3.33
Parkki,143.55,19.57,19.77,23.43,8.89,3.26
Roach,154.88,19.47,21.38,25.1,6.51,3.8
Bream,636.36,30.1,33.77,38.12,15.64,5.16
Perch,202.73,24.01,29.45,26.68,7.53,4.03
Pike,494.7,39.7,45.48,45.89,7.64,4.87
Smelt,10.2,11.75,11.72,13.1,2.29,1.26
Bream,593.12,30.31,33.77,36.57,15.25,5.16
Bream,634.4,31.92,31.78,37.59,14.88,5.64
Parkki,145.84,18.91,19.87,22.5,8.8,3.29
Perch,377.99,25.61,28.04,28.05,7.92,4.88
Whitefish,439.85,25.82,28.84,31.72,8.51,4.78
Parkki,145.0,17.82,18.78,22.04,8.7,3.36
Parkki,137.75,18.36,18.98,22.27,8.28,3.29
Smelt,11.41,11.86,11.8,12.71,2.16,1.43
Smelt,9.8,11.98,11.45,13.62,2.23,1.3
Parkki,156.37,18.43,21.73,21.43,8.98,3.16
Roach,149.01,19.61,22.72,23.97,6.77,3.47
Perch,393.42,26.66,26.57,29.74,7.53,4.59
Smelt,10.95,11.75,11.21,13.36,2.31,1.21
Parkki,152.25,19.76,19.77,23.43,8.11,3.23
Perch,217.36,24.98,24.75,28.88,7.77,4.69
Pike,700.26,42.11,42.83,46.83,7.19,4.8
Perch,401.13,25.35,28.89,28.88,6.71,4.59
Pike,525.3,41.67,44.29,46.83,7.0,4.63
Smelt,10.95,11.41,11.72,12.58,2.31,1.21
Whitefish,296.82,25.09,29.23,32.34,9.76,4.59
Whitefish,299.88,24.58,27.72,31.42,8.34,5.22
Bream,603.9,30.4,33.99,39.5,15.94,5.43
Perch,200.64,24.01,27.47,29.74,6.85,4.28
Whitefish,481.52,27.41,29.23,31.14,8.78,5.27
Perch,217.36,25.46,26.9,30.04,6.85,4.11
Pike,742.7,41.67,45.15,46.72,7.51,5.15
Pike,728.56,40.5,43.72,44.88,7.58,4.97
Roach,146.03,21.68,21.8,24.1,6.83,3.42
Perch,404.99,25.09,27.19,26.68,7.06,4.2
Roach,140.12,20.85,23.17,24.22,6.96,3.73
Perch,219.45,23.04,28.89,31.24,7.77,4.54
Bream,597.8,31.31,32.45,38.74,14.88,5.21
Pike,693.19,39.61,41.28,48.09,6.93,4.72
Pike,714.41,42.5,43.28,46.72,7.65,4.82
Roach,141.6,19.47,21.16,26.22,6.9,3.57
Bream,599.29,30.61,34.43,39.27,14.88,5.64
Bream,586.94,28.88,33.77,37.59,15.49,5.59
Roach,158.13,20.65,23.17,24.6,7.03,3.84
Bream,642.54,29.49,31.78,40.04,14.88,5.54
Pike,489.6,43.32,44.72,46.72,7.11,5.0
Whitefish,315.18,27.41,27.72,31.45,10.05,4.92
Perch,366.42,23.04,28.04,29.74,8.24,4.54
Perch,385.71,25.22,26.57,26.68,7.77,4.36
Parkki,145.84,18.81,20.91,20.99,8.7,3.11
Roach,140.12,20.23,21.58,25.6,6.43,3.71
Perch,397.28,26.4,27.75,26.12,7.2,4.54
Smelt,9.9,10.95,11.45,13.6,2.2,1.24
Smelt,11.64,11.53,11.68,13.6,2.27,1.39
Whitefish,449.11,25.34,28.0,30.5,9.19,4.63
Parkki,143.55,19.19,19.66,22.27,8.62,3.17
Parkki,139.2,19.0,20.37,23.9,9.16,3.17
Smelt,11.87,11.75,11.72,12.44,2.29,1.21
Smelt,9.7,11.07,11.96,13.62,2.25,1.43
Perch,401.13,26.92,26.9,27.23,7.06,4.83
Whitefish,439.85,26.88,29.81,32.72,9.19,5.27
Roach,159.65,19.88,22.72,26.09,6.63,3.49
Pike,735.63,41.3,45.15,45.34,7.22,4.68
Roach,141.6,19.61,23.39,24.6,6.25,3.67
Whitefish,296.82,25.28,28.0,32.41,9.76,5.07
Bream,617.83,31.21,31.68,39.5,14.36,5.64
Roach,155.09,21.12,22.03,25.22,6.63,3.46
Bream,586.94,31.21,33.33,38.74,15.64,5.17
Bream,611.65,30.4,31.68,39.5,15.7,5.59
Parkki,145.0,17.82,20.49,21.87,9.07,3.26
Smelt,9.8,11.29,11.8,13.23,2.29,1.33
Bream,628.3,30.31,33.77,39.89,14.8,5.7
Smelt,10.2,10.84,11.72,13.6,2.25,1.32
Roach,147.49,20.91,21.83,24.22,6.36,3.58
Perch,209.0,26.14,27.09,27.5,7.27,4.92
Parkki,154.87,18.05,20.17,22.97,8.79,3.13
Bream,585.6,30.31,33.11,37.2,15.79,5.26
Whitefish,299.88,27.68,28.56,32.41,9.96,4.63
Smelt,11.41,10.85,12.27,12.97,2.18,1.4
Roach,140.12,20.23,22.5,24.72,6.38,3.47
Perch,202.73,27.18,28.04,26.12,7.77,4.11
Whitefish,439.85,24.83,27.79,30.82,9.09,5.02
Parkki,150.35,19.0,21.53,22.53,8.54,3.01
Whitefish,486.15,27.41,28.94,33.36,9.22,4.87
Perch,366.42,25.46,28.89,30.04,8.24,4.73
Pike,742.7,39.2,45.04,43.97,7.36,5.05
Smelt,10.1,11.52,11.45,13.08,2.2,1.23
Roach,147.5,21.53,21.61,25.1,6.45,3.46
Bream,611.65,29.49,32.12,40.27,15.18,5.02
Bream,593.12,29.4,32.34,40.04,15.55,5.48
Bream,605.47,30.1,34.65,37.59,15.4,5.21
Parkki,154.87,17.45,20.7,22.27,8.8,3.26
Whitefish,290.7,25.28,28.36,32.09,8.95,4.59
Smelt,11.75,11.07,11.68,13.49,2.29,1.4
Perch,401.13,25.61,29.17,28.83,7.61,4.15
Perch,213.18,26.14,29.45,27.23,8.08,4.07
Whitefish,463.0,24.32,29.52,29.26,8.95,4.97
Smelt,9.7,11.41,11.56,13.74,2.34,1.32
Whitefish,290.7,25.55,28.36,31.42,9.13,4.73
Smelt,10.4,11.64,11.33,13.08,2.18,1.3
Pike,679.04,40.02,45.93,45.41,7.65,4.8
Bream,636.36,28.88,33.44,38.12,15.03,5.39
Roach,158.13,21.47,22.27,25.84,6.64,3.53
Parkki,142.84,18.18,20.29,21.65,8.63,3.29
Perch,211.09,23.77,25.01,27.23,7.53,4.2
Whitefish,302.94,26.37,28.28,33.04,10.05,4.87
Bream,605.47,29.49,32.12,40.43,15.18,5.07
Smelt,11.41,11.98,11.92,13.49,2.23,1.3
Perch,213.18,23.77,27.47,27.23,7.84,4.11
Parkki,147.35,19.95,19.97,22.97,8.89,3.04
Pike,494.7,38.09,41.95,45.89,7.0,5.06
Parkki,153.36,18.36,20.7,21.43,8.36,3.33
Whitefish,290.7,27.15,28.94,30.8,9.86,5.07
Roach,153.57,20.09,22.03,25.6,6.9,3.77
Whitefish,458.37,25.09,28.94,31.11,9.09,4.49
Roach,150.53,19.82,21.8,24.72,6.84,3.78
Whitefish,481.52,24.32,28.94,32.34,8.51,4.87
Smelt,11.64,11.86,11.56,12.97,2.09,1.24
Whitefish,309.06,26.08,27.72,31.72,9.86,4.87
Whitefish,458.37,25.6,30.1,30.82,9.19,4.82
Parkki,149.35,17.82,20.91,21.87,8.54,3.17
Whitefish,290.7,26.88,30.39,30.18,9.13,4.92
Parkki,153.36,19.95,21.32,23.9,9.07,3.13
Bream,616.1,30.4,33.77,36.82,14.58,5.59
Parkki,144.34,17.45,19.38,21.87,8.53,3.23
Bream,640.5,28.79,32.78,38.88,14.66,5.37
Roach,147.5,20.5,22.27,25.47,6.64,3.55
Whitefish,315.18,27.41,28.0,32.09,9.57,4.87
Bream,593.12,28.88,31.68,37.34,15.1,5.37
Pike,525.3,40.5,43.0,45.89,7.22,4.75
Roach,144.55,20.5,23.36,26.22,6.9,3.66
Whitefish,315.18,26.88,28.28,32.72,9.29,4.97
Perch,219.45,26.66,28.32,27.23,8.08,3.95
Parkki,147.9,17.45,20.49,21.65,8.28,3.23
Roach,140.12,19.61,22.7,24.72,6.43,3.73
Pike,735.63,42.91,43.43,45.41,7.19,4.72
Perch,366.42,26.14,29.74,28.53,8.0,4.2
Roach,158.13,19.68,22.94,25.1,6.84,3.84
Bream,642.54,29.79,32.45,38.5,15.18,5.33
Parkki,145.84,18.18,19.77,22.97,8.45,3.16
Parkki,152.25,19.0,21.73,23.9,8.36,3.11
Pike,499.8,41.67,45.04,45.34,6.93,5.0
Parkki,156.37,19.57,19.97,22.75,8.53,3.36
Whitefish,439.85,26.62,28.84,31.11,8.34,4.59
Roach,146.03,21.47,22.92,24.47,6.43,3.47
Bream,586.94,29.79,34.43,37.2,15.34,5.17
Parkki,149.35,18.62,21.11,21.43,8.87,3.26
Parkki,147.9,18.36,18.78,22.27,8.79,3.39
Roach,147.49,21.53,21.58,23.61,6.43,3.53
Whitefish,296.82,27.15,30.39,32.03,9.96,4.87
Parkki,147.9,17.64,19.38,22.97,8.11,3.19
Roach,151.93,20.5,21.14,24.72,6.38,3.58
Bream,585.6,30.61,33.77,40.04,15.64,5.26
Roach,158.13,20.23,21.83,24.35,6.64,3.67
Perch,206.91,24.73,28.32,30.04,7.61,4.73
Bream,617.83,30.61,31.78,40.27,15.34,5.54
Bream,610.0,29.09,32.34,39.66,15.49,5.33
Perch,219.45,24.01,25.01,31.54,8.0,4.07
Smelt,12.1,11.75,11.84,12.58,2.2,1.4
Whitefish,309.06,26.88,29.81,32.09,8.95,4.87
Smelt,11.75,11.75,11.33,13.08,2.09,1.24
Smelt,9.4,11.75,11.84,13.74,2.12,1.29
Pike,494.7,40.43,44.29,48.25,7.86,4.97
Smelt,11.06,10.84,12.21,12.81,2.18,1.35
Pike,742.7,42.91,45.48,49.2,7.79,4.92
Perch,215.27,26.92,28.32,26.4,6.71,4.83
Whitefish,299.88,24.58,28.28,29.57,9.76,5.02
Pike,707.34,41.3,45.48,47.78,6.93,4.82
Pike,489.6,41.26,43.28,47.17,7.65,5.02
Whitefish,318.24,24.83,28.65,33.36,8.43,4.97
Pike,504.9,39.61,41.95,46.36,7.56,4.87
Roach,149.01,21.32,23.36,25.84,6.38,3.57
Perch,217.36,24.49,26.05,29.43,8.24,4.2
Roach,147.5,20.65,23.39,25.6,6.84,3.78
Pike,515.1,42.5,45.48,43.51,7.56,5.15
Smelt,11.98,11.75,12.08,12.97,2.09,1.35
Pike,510.0,39.61,43.0,43.51,7.14,4.9
Smelt,11.75,11.98,11.33,13.62,2.12,1.26
Parkki,142.84,17.27,20.91,21.65,9.34,3.39
Smelt,11.29,10.85,12.57,12.68,2.18,1.35
Pike,671.97,38.5,42.83,47.17,7.44,4.63
Parkki,148.85,19.57,19.58,22.31,9.16,3.11
Parkki,145.0,18.81,19.38,20.99,8.7,3.13
Smelt,11.75,11.29,12.15,12.97,2.14,1.42
Roach,144.55,20.91,22.27,23.72,6.96,3.75
Parkki,142.1,19.19,18.98,24.36,8.19,3.16
Pike,742.7,43.32,46.37,44.88,7.41,4.97
Whitefish,486.15,27.95,28.65,32.72,9.22,5.12
Whitefish,318.24,24.83,29.4,31.11,9.09,5.17
Bream,605.47,31.92,31.68,39.12,14.8,5.12
Parkki,149.35,18.91,21.53,22.53,8.45,3.04
Parkki,144.34,19.38,20.17,24.36,8.54,3.07
Roach,159.65,21.68,21.16,23.61,6.49,3.75
Parkki,152.25,18.05,18.98,22.31,8.8,3.17
Whitefish,315.18,27.68,27.79,31.77,8.6,4.49
Perch,370.28,24.49,24.75,28.05,8.0,4.07
Smelt,12.1,11.64,12.57,13.62,2.16,1.32
Whitefish,293.76,26.88,28.0,31.14,9.48,4.49
Smelt,10.2,10.95,12.04,13.47,2.29,1.43
Roach,159.65,21.53,22.92,24.85,6.49,3.71
Whitefish,290.7,26.88,28.65,31.42,9.09,4.82
Roach,144.55,21.06,23.14,25.1,6.76,3.84
Perch,209.0,24.01,26.83,30.64,6.64,4.36
Perch,198.55,24.98,27.47,28.88,8.32,4.07
Pike,499.8,40.5,44.6,45.89,7.79,5.06
Whitefish,309.06,27.41,28.36,32.72,8.78,4.87
Pike,728.56,40.5,43.86,46.36,7.65,5.06
Bream,636.36,28.88,34.76,39.12,15.79,5.37
Roach,144.55,21.06,22.03,23.86,6.36,3.71
Whitefish,439.85,26.88,28.56,31.42,9.96,4.82
Bream,610.0,31.52,32.34,37.73,14.36,5.02
Smelt,11.98,11.75,12.08,13.1,2.12,1.32
Pike,671.97,39.2,44.16,47.17,7.71,4.77
Smelt,11.18,10.96,12.27,13.6,2.27,1.32
Perch,385.71,25.22,25.53,26.4,7.2,4.83
Smelt,11.75,11.64,12.33,13.74,2.22,1.42
Smelt,11.41,11.18,11.72,13.47,2.23,1.35
Roach,153.4,20.85,22.47,25.1,6.56,3.53
Perch,200.64,24.25,26.83,28.88,6.85,4.64
Pike,494.7,39.3,43.0,48.73,6.93,5.2
Parkki,151.86,17.64,19.97,22.5,8.36,3.29
Bream,617.83,30.0,31.45,36.57,15.18,5.02
Perch,401.13,25.88,29.17,28.6,7.06,4.88
Roach,143.07,21.53,22.7,24.97,6.71,3.42
Parkki,150.8,18.43,19.66,23.43,8.98,3.36
Smelt,10.1,10.96,12.45,12.55,2.09,1.38
Roach,144.45,19.47,22.27,24.47,6.69,3.67
Perch,215.27,23.77,24.75,29.43,7.2,4.24
Perch,374.13,23.28,25.01,26.95,8.32,4.88
Whitefish,318.24,26.11,28.56,29.26,9.67,4.73
Whitefish,315.18,27.41,29.4,29.57,9.19,4.59
Bream,630.19,31.92,34.65,38.88,15.34,5.49
Roach,151.93,21.47,21.8,23.86,6.43,3.55
Perch,404.99,27.44,25.01,26.12,7.92,4.88
Whitefish,309.06,26.88,27.16,30.49,8.69,4.63
Perch,389.56,23.77,25.79,26.12,8.32,4.24
Parkki,154.87,17.27,18.78,23.2,9.34,3.11
Whitefish,315.18,26.35,26.88,30.5,9.57,4.92
Whitefish,306.0,26.61,27.72,31.11,9.67,4.45
Smelt,11.18,11.41,11.8,12.55,2.36,1.29
Smelt,11.75,11.18,11.92,13.74,2.29,1.32
Perch,211.09,26.92,25.01,30.94,7.69,4.83
Bream,617.83,31.21,31.68,39.12,15.4,5.12
Roach,159.65,21.26,21.36,25.35,6.84,3.6
Bream,617.83,30.7,32.01,36.82,14.21,5.59
Roach,153.4,21.06,23.39,25.97,6.71,3.47
Whitefish,306.0,26.11,28.36,31.14,8.87,4.82
Roach,148.97,20.09,21.83,25.6,6.36,3.75
Roach,150.45,20.03,23.14,26.22,6.76,3.46
Whitefish,449.11,26.08,27.79,31.11,9.04,4.68
Whitefish,302.94,27.15,28.56,30.5,8.34,5.22
Bream,636.36,31.21,34.65,36.82,15.1,5.23
Roach,156.61,20.91,22.72,24.22,6.69,3.67
Smelt,10.0,11.64,12.33,12.97,2.27,1.42
Smelt,11.06,11.75,11.72,12.94,2.29,1.21
Parkki,144.34,18.24,21.32,22.97,8.54,3.33
Roach,144.55,20.23,23.17,23.97,6.32,3.69
Whitefish,472.26,25.86,28.56,30.5,8.78,4.49
Smelt,11.29,11.98,11.92,12.84,2.09,1.3
Pike,707.34,41.26,44.72,49.67,7.07,4.7
Whitefish,306.0,25.28,27.5,30.82,8.43,5.12
Smelt,9.7,11.29,11.96,12.71,2.29,1.33
Roach,155.09,20.91,22.92,25.1,6.36,3.8
Parkki,151.86,19.0,20.37,23.9,8.54,3.36
Whitefish,312.12,26.61,27.44,33.36,9.48,4.92
Pike,504.9,40.5,43.0,44.94,7.79,5.06
Whitefish,312.12,26.35,28.36,31.42,8.6,4.87
