,Questions,Label
252,Quarter 1 Quiz 1 Exam Result ?,7
60,Issue not resolved,1
112,Aoa sir men AI online batch1 (khi) ka student hun men python ka test Dene nh aska new date btadein koi.,2
23,Which 4IR technology is best in future of Pakistan?? IoT or Blockchain?,0
203,wifi at saylani bhadurabad campus,6
3,Certified 4IR,0
176,less than 50% in Q2,5
173,"Classes & course for BC Batch 3 Q2, ISB",4
166,Bitcoin is only for miners?,4
113,What should be total achieved marks in order to qualify for module 2?,2
188,What is PaaS and IaaS?,5
245,Visual code,7
101,no of lectures,2
28,Announcement section,1
152,Blockchain Related Updates,4
236,from the book,7
55,Islamabad AI Quiz 2,1
128,Explain Scarcity?,4
98,How Artificial Intelligence works?,2
13,Received email about selection 4IR,0
225,PIAIC Assignment in Review class,7
82,Q2 Promoted,2
191,online videos are not running in my  Pc,5
138,MOCK Exams,4
232,can't create file to run in visualstudio [closed],7
226,PIAIC Assignment in Review class,7
81,difference between function & method?,2
164,More than one Wallet of Bitcoin?,4
130,what is scope of blockchain in pakistan?,4
72,Student ID IOT045038. My quiz timing is coinciding with my office timing. Kindly change it to 6 to 7 2 September  2019,1
65,Kindly make a GIT catg.,1
243,Visual Code (Multiple files),7
139,Few More CBBF questions,4
136,Is consensus sought for validity of trx?,4
195,cloud native re exam,5
261,embeded rust,9
255,Difference between Two commands,7
229,RUST Programming (String literals),7
37,Safe Exam Browser is not working,1
157,anonymity will be a big problem,4
51,For Change Of Card,1
237,what is bugs,7
80,From where we can get Our Assignment,2
158,Identity of a person in blockchain,4
217,use of iter(),7
259,necessary install node.js,9
61,Test date issue,1
76,"Build aiinyourcompany,aiandsocietycover?",2
127,Diff btw a Smrt contract and OOP class?,4
78,final exam,2
94,Recommended python version for our AIC?,2
103,Generate the following output,2
185,Is it worth or not?,5
34,No SEB for linux? [closed],1
6,Rust program not working,0
120,When python second quiz (test) will be conducted alongwith result of pyhon first quiz(test).,2
93,how can i acces this artificial course,2
159,availability of books,4
19,Is there a quiz for distant learners this week?,0
160,how to get returns uint from this code?,4
16,Sir please instalation  procedure of Virtual Machine in ubuntu,0
84,No USER FOUND,2
141,CBBF Questions Confusions,4
109,Sir bymistake i have chosen online while generating my voucher how can i change it sir i plz let me know,2
24,AI + Cloud Native,0
83,Sir how to use Python in VS code???,2
146,How wallets earn?,4
