Species,Weight,Length1,Length2,Length3,Height,Width
Pike,1150.0,47.84,51.52,54.92,9.83,6.43
Bream,780.0,38.22,41.6,48.36,20.07,7.25
Parkki,6.37,8.1,9.07,9.5,2.28,1.52
Whitefish,66.0,16.2,17.64,19.8,8.22,2.79
Bream,558.0,27.34,29.76,34.6,13.91,4.81
Bream,720.0,32.0,35.0,40.6,16.36,6.09
Roach,307.4,25.44,27.56,30.95,9.41,4.77
Whitefish,57.75,14.18,15.44,17.32,7.19,2.44
Bream,984.75,37.77,41.41,46.36,18.82,6.81
Bream,333.2,28.91,31.36,36.55,13.63,4.97
Bream,310.3,25.68,28.14,33.38,13.35,4.61
Roach,0.0,18.81,20.29,22.57,6.41,3.32
Whitefish,432.0,38.56,42.4,46.88,13.03,6.8
Smelt,9.99,10.71,11.33,12.36,2.26,1.42
Bream,1050.0,35.18,38.85,44.73,19.9,6.93
Whitefish,351.0,31.33,34.45,38.09,10.59,5.52
Whitefish,572.4,30.21,32.86,36.04,11.39,6.96
Pike,9.38,13.02,13.72,15.12,2.43,1.47
Pike,1567.5,56.05,60.23,64.6,10.27,7.11
Bream,778.26,35.64,39.24,45.24,18.0,6.38
Roach,70.98,15.93,17.11,19.29,5.07,2.64
Bream,408.0,28.68,31.8,37.32,14.85,5.64
Pike,2475.0,88.5,95.1,102.0,16.22,11.22
Roach,73.83,17.66,19.47,21.72,5.67,3.02
Pike,1045.0,53.13,56.87,60.61,9.82,6.79
Pike,1860.0,67.2,72.0,76.8,11.52,7.37
Bream,316.1,26.16,28.67,34.01,13.6,4.69
Roach,164.22,22.44,23.87,27.23,7.05,3.7
Parkki,318.0,25.44,27.56,30.74,12.05,4.49
Parkki,251.16,21.16,23.0,25.76,10.2,3.81
Bream,357.0,30.98,33.6,39.16,14.61,5.33
Pike,510.0,40.0,42.5,45.5,6.83,4.46
Parkki,120.0,17.5,19.0,21.3,8.39,2.92
Bream,485.0,27.84,30.07,35.11,13.94,4.67
Perch,137.9,16.45,17.92,18.9,4.59,2.97
Pike,567.0,43.2,46.0,48.7,7.79,4.87
Parkki,148.5,18.22,19.8,22.18,8.8,3.26
Perch,150.8,21.53,23.61,25.17,6.19,3.78
Roach,0.0,26.6,28.7,31.92,9.07,4.69
Roach,0.0,20.33,21.94,24.4,6.93,3.59
Perch,56.0,19.32,21.0,22.4,5.35,3.4
Roach,159.5,22.55,24.2,26.73,7.3,3.9
Roach,112.0,16.8,18.0,20.0,5.24,2.66
Roach,147.0,19.99,21.56,24.21,5.69,3.68
Perch,1650.0,58.5,63.0,66.9,19.2,10.3
Roach,156.6,22.14,23.76,26.24,7.16,3.83
Perch,1350.0,54.75,58.5,62.1,16.7,11.24
Perch,74.4,16.0,17.67,18.79,5.24,2.84
Pike,534.6,39.7,42.57,45.34,7.71,5.08
Whitefish,286.2,25.55,28.09,31.06,8.63,4.5
Bream,1288.0,49.0,53.9,61.74,25.25,8.83
Parkki,130.2,17.67,19.25,21.58,7.94,3.06
Perch,155.15,22.15,24.29,25.89,6.37,3.88
Roach,152.0,20.05,21.38,23.75,6.08,3.61
Whitefish,60.5,14.85,16.17,18.15,7.53,2.56
Bream,315.0,18.76,20.79,24.29,9.52,3.45
Perch,828.0,41.52,44.4,47.16,12.69,7.64
Parkki,136.3,18.61,20.21,22.65,9.15,2.97
Smelt,10.5,11.87,12.39,13.76,2.32,1.35
Parkki,3.54,4.5,5.04,5.28,1.27,0.84
Parkki,134.4,18.24,19.87,22.27,8.2,3.16
Smelt,5.88,6.42,6.72,7.44,1.25,0.77
Perch,672.0,26.0,28.0,29.84,9.19,6.24
Pike,424.08,37.2,39.52,42.32,6.77,4.02
Smelt,6.93,10.0,10.49,11.48,1.71,1.14
Whitefish,480.0,20.22,21.84,23.76,7.06,3.94
Smelt,13.93,9.66,10.5,11.34,2.05,1.32
Pike,638.4,56.0,59.5,63.7,10.19,6.05
Perch,275.0,27.94,30.25,31.79,8.01,5.02
Pike,547.2,48.0,51.0,54.6,8.74,5.19
Whitefish,367.2,30.72,33.6,36.96,10.53,5.62
Perch,749.0,36.91,39.59,42.16,11.59,6.7
Roach,240.0,30.75,33.75,37.95,10.55,5.73
Whitefish,518.4,27.36,29.76,32.64,10.31,6.3
Perch,150.4,18.08,19.68,20.96,5.39,3.33
Parkki,190.0,20.14,21.85,24.51,9.83,3.48
Smelt,6.79,9.8,10.28,11.25,1.68,1.11
Whitefish,291.6,26.03,28.62,31.64,8.8,4.59
Pike,1000.0,41.6,44.8,47.76,8.55,5.59
Roach,81.12,18.2,19.55,22.05,5.8,3.02
Parkki,282.0,22.56,24.44,27.26,10.69,3.98
Roach,240.0,30.75,33.75,37.95,10.55,5.73
Roach,160.0,21.1,22.5,25.0,6.4,3.8
Smelt,11.35,10.7,11.35,12.46,1.94,1.3
Smelt,11.96,11.27,11.96,13.13,2.05,1.37
Parkki,168.3,18.81,20.49,22.97,9.3,3.38
Perch,683.1,34.25,36.63,38.91,10.47,6.3
Whitefish,324.36,27.14,29.68,32.65,9.3,4.96
Roach,378.3,28.61,30.75,33.95,9.2,5.19
Whitefish,648.0,34.2,37.2,40.8,12.89,7.87
Pike,567.0,43.2,46.0,48.7,7.79,4.87
Whitefish,808.0,34.04,36.76,40.0,11.88,6.64
Parkki,480.0,38.4,41.6,46.4,18.19,6.77
Parkki,166.6,18.62,20.29,22.74,9.21,3.34
Roach,117.0,26.25,28.2,31.8,8.36,4.36
Roach,155.2,19.88,21.82,24.54,6.82,3.71
Parkki,240.0,29.44,32.0,35.84,14.23,5.27
Pike,180.0,19.62,21.0,23.28,3.56,2.63
Smelt,19.9,13.33,14.44,15.35,2.9,2.09
Pike,285.0,33.06,35.43,37.81,5.97,3.82
Roach,74.52,17.82,19.66,21.92,5.72,3.05
Bream,451.25,26.98,29.45,34.39,13.55,4.85
Roach,155.15,21.94,23.54,26.0,7.1,3.8
Bream,585.6,29.66,32.16,37.06,15.01,4.93
Bream,764.0,28.0,30.8,35.2,14.47,5.03
Bream,680.0,31.8,35.0,40.6,15.47,6.13
Roach,111.6,17.3,18.6,20.65,5.78,3.32
Perch,779.0,35.24,38.0,40.38,10.58,6.3
Whitefish,256.5,22.89,25.17,27.84,7.74,4.04
Parkki,382.2,32.2,35.0,39.2,15.52,5.8
Perch,257.5,26.68,28.84,30.28,8.06,4.33
Smelt,8.83,9.46,10.01,10.92,2.0,1.26
Parkki,84.6,15.32,16.64,18.61,6.96,2.51
Perch,1040.0,42.74,45.76,48.46,12.99,7.9
Perch,128.25,19.0,20.9,22.32,5.58,3.35
Perch,1148.0,51.24,54.6,57.82,17.4,10.29
Whitefish,88.0,21.6,23.52,26.4,10.96,3.72
Roach,0.0,19.19,20.71,23.03,6.54,3.39
Parkki,110.4,16.1,17.48,19.6,7.72,2.68
Whitefish,577.8,30.5,33.17,36.38,11.5,7.02
Smelt,11.35,11.25,12.09,12.83,2.12,1.17
Parkki,139.5,17.11,18.6,20.83,8.27,3.06
Whitefish,280.8,25.06,27.56,30.47,8.47,4.42
Smelt,9.2,10.4,10.86,12.05,2.04,1.18
Smelt,11.22,11.13,11.96,12.7,2.09,1.16
Smelt,9.7,10.59,11.09,12.28,2.06,1.26
Parkki,120.0,12.72,13.8,15.48,6.21,2.2
Bream,1000.0,33.5,37.0,42.6,18.96,6.6
Smelt,10.0,10.91,11.42,12.65,2.12,1.3
Roach,155.2,19.88,21.82,24.54,6.82,3.71
Roach,80.34,18.03,19.36,21.84,5.74,2.99
Bream,285.0,17.04,18.6,21.72,8.56,3.06
Parkki,116.0,15.84,17.2,19.28,7.79,2.53
Perch,139.2,19.87,21.79,23.23,5.72,3.48
Pike,390.0,42.51,45.5,50.44,7.72,5.7
Parkki,156.4,17.48,19.04,21.34,8.64,3.14
Roach,81.9,18.38,19.74,22.26,5.85,3.05
Pike,1627.5,58.8,63.0,67.2,10.08,6.45
Bream,916.5,35.16,38.54,43.15,17.52,6.34
Perch,272.5,27.69,29.98,31.5,7.94,4.98
Roach,158.05,22.35,23.98,26.49,7.23,3.87
Whitefish,57.75,14.18,15.44,17.32,7.19,2.44
Smelt,4.2,6.06,6.36,6.96,1.04,0.69
Bream,510.0,27.34,30.29,35.19,14.46,5.38
Parkki,5.9,7.5,8.4,8.8,2.11,1.41
Parkki,146.45,20.0,21.71,24.34,9.83,3.19
Pike,875.0,36.4,39.2,41.79,7.48,4.89
Smelt,11.96,11.27,11.96,13.13,2.05,1.37
Parkki,256.62,21.62,23.5,26.32,10.42,3.9
Roach,161.6,20.71,22.73,25.55,7.1,3.86
Whitefish,816.0,34.37,37.13,40.39,12.0,6.71
Perch,110.4,18.4,20.24,21.62,5.62,3.13
Whitefish,808.0,34.04,36.76,40.0,11.88,6.64
Pike,516.0,42.6,45.6,48.6,8.75,5.49
Parkki,5.78,7.35,8.23,8.62,2.07,1.38
Whitefish,980.0,36.55,39.2,42.63,12.11,6.39
Whitefish,54.45,13.37,14.55,16.34,6.78,2.3
Parkki,204.0,21.62,23.46,26.32,10.55,3.74
Whitefish,577.8,30.5,33.17,36.38,11.5,7.02
Bream,358.8,25.39,27.6,32.2,11.66,4.31
Smelt,21.09,14.63,15.9,17.17,3.11,1.99
Perch,92.65,19.84,21.8,22.89,5.54,3.02
Roach,310.3,25.68,27.82,31.24,9.5,4.81
Parkki,182.0,19.29,20.93,23.48,9.41,3.33
Perch,656.5,36.87,39.39,41.81,11.25,6.06
Perch,250.0,25.9,28.0,29.4,7.82,4.2
Perch,297.0,24.95,27.03,28.41,8.24,5.09
Pike,1175.0,48.88,52.64,56.12,10.05,6.57
Parkki,8.85,11.25,12.6,13.2,3.17,2.11
Parkki,171.7,19.19,20.91,23.43,9.49,3.44
Roach,156.17,21.34,22.7,25.9,6.71,3.52
Bream,564.0,27.64,30.08,34.97,14.06,4.86
Pike,525.0,44.1,47.25,50.4,7.31,5.14
Whitefish,920.0,34.32,36.8,40.02,11.37,6.0
Roach,55.2,13.2,14.56,16.24,4.24,2.26
Parkki,240.0,29.44,32.0,35.84,14.23,5.27
Parkki,127.2,18.55,20.14,22.58,8.9,3.09
Pike,545.7,42.8,45.48,48.69,7.3,4.77
Whitefish,588.6,31.07,33.79,37.06,11.71,7.15
Perch,128.7,20.29,22.27,23.76,5.8,3.59
Smelt,8.7,10.8,11.3,12.6,1.98,1.29
Pike,1568.0,54.88,58.8,62.72,9.41,6.02
Bream,481.5,28.68,31.78,37.13,14.55,5.27
Bream,1020.0,47.7,52.5,60.9,23.2,9.2
Pike,1716.0,61.36,65.94,70.72,11.24,7.78
Perch,250.0,25.9,28.0,29.4,7.82,4.2
Whitefish,556.2,29.36,31.93,35.02,11.07,6.76
Smelt,8.83,9.46,10.01,10.92,2.0,1.26
Bream,582.8,29.61,32.43,37.32,14.59,4.96
Smelt,13.94,12.17,12.9,14.04,2.53,1.32
Perch,131.95,20.02,21.84,23.21,5.8,3.48
Bream,500.0,28.5,30.7,36.2,14.23,4.96
Parkki,120.0,14.72,16.0,17.92,7.11,2.63
Roach,145.6,19.2,20.48,22.75,5.82,3.46
Pike,921.5,46.85,50.15,53.45,8.66,5.99
Pike,327.0,35.64,38.15,42.29,6.47,4.78
Perch,162.0,24.0,26.4,28.2,7.05,4.23
Perch,970.0,38.61,41.71,43.84,11.57,7.06
Pike,1600.5,57.23,61.5,65.96,10.49,7.26
Smelt,23.64,15.84,17.16,18.24,3.45,2.48
Roach,166.4,21.32,23.4,26.31,7.31,3.97
Roach,138.0,18.77,20.24,22.72,5.34,3.45
Pike,940.5,47.82,51.18,54.55,8.84,6.11
Roach,64.86,15.51,17.11,19.08,4.98,2.65
Whitefish,513.0,27.07,29.45,32.3,10.21,6.23
Perch,122.4,20.4,22.44,23.97,5.75,3.6
Bream,564.0,27.64,30.08,34.97,14.51,5.25
Pike,1325.0,55.12,59.36,63.28,11.33,7.4
Bream,498.75,29.82,32.55,38.01,14.98,5.36
Whitefish,640.0,26.96,29.12,31.68,9.41,5.26
Perch,676.2,33.91,36.26,38.51,10.36,6.24
Whitefish,321.3,26.88,29.4,32.34,9.22,4.92
Bream,883.5,35.34,38.13,43.25,16.39,5.92
Perch,336.0,29.19,31.5,33.18,8.0,5.01
Parkki,294.0,23.52,25.48,28.42,11.14,4.15
Parkki,248.43,20.93,22.75,25.48,10.09,3.77
Bream,326.4,22.94,25.44,29.86,11.88,4.51
Parkki,116.4,16.97,18.43,20.66,8.14,2.83
Pike,1250.0,52.0,56.0,59.7,10.69,6.98
Parkki,253.89,21.39,23.25,26.04,10.31,3.85
Roach,273.0,20.65,22.19,24.5,6.64,3.75
Whitefish,272.7,24.34,26.77,29.59,8.23,4.29
Smelt,20.68,13.86,15.02,15.96,3.02,2.17
Parkki,139.2,19.01,20.64,23.14,9.35,3.03
Roach,80.04,16.74,18.22,20.42,5.17,2.92
Pike,1650.0,59.0,63.4,68.0,10.81,7.48
Bream,374.0,32.45,35.2,41.03,15.3,5.58
Bream,1241.5,45.5,50.05,57.2,23.51,8.18
Parkki,115.2,16.8,18.24,20.45,8.06,2.8
Whitefish,970.0,36.18,38.8,42.2,11.98,6.33
Perch,102.3,18.6,20.46,21.86,5.14,3.72
Pike,1425.0,72.45,77.55,82.65,13.39,9.26
Bream,585.6,29.66,32.16,37.06,15.01,4.93
Parkki,164.9,18.43,20.08,22.5,9.11,3.31
Smelt,10.29,11.97,12.6,13.86,2.31,1.21
Perch,424.0,40.64,44.0,46.24,11.28,6.94
Perch,672.0,32.64,34.56,36.77,10.18,6.47
Smelt,6.65,9.59,10.07,11.02,1.64,1.09
Smelt,9.89,10.61,11.22,12.24,2.24,1.41
Bream,890.5,40.82,44.2,50.96,20.79,6.98
Whitefish,58.3,14.31,15.58,17.49,7.26,2.47
Bream,874.0,33.25,36.57,41.89,17.14,5.99
Smelt,11.96,11.86,12.74,13.52,2.23,1.23
Whitefish,540.0,28.5,31.0,34.0,10.74,6.56
Pike,1616.0,56.56,60.6,64.64,9.7,6.21
Perch,1148.0,51.94,56.0,59.5,15.59,9.28
Bream,637.0,30.38,32.83,37.93,14.18,5.61
Pike,487.92,42.8,45.48,48.69,7.79,4.63
Bream,712.5,42.6,46.5,54.3,21.39,7.66
Roach,134.4,20.16,21.6,24.0,6.29,3.19
Perch,315.0,26.46,28.67,30.14,8.74,5.39
Perch,150.4,18.08,19.68,20.96,5.39,3.33
Perch,156.6,23.76,25.92,27.54,6.89,4.13
Parkki,188.5,25.74,27.95,31.33,12.66,4.1
Whitefish,824.0,34.71,37.49,40.79,12.11,6.77
Smelt,11.96,11.86,12.74,13.52,2.23,1.23
Smelt,15.92,11.04,12.0,12.96,2.35,1.5
Parkki,294.0,23.52,25.48,28.42,11.14,4.15
Bream,1100.0,36.85,40.7,46.86,20.85,7.26
Roach,87.0,12.3,13.2,14.58,3.98,2.13
Bream,485.0,26.0,28.81,33.46,13.75,5.12
Parkki,85.5,15.48,16.81,18.81,7.03,2.54
Parkki,135.0,24.45,26.55,29.7,11.11,4.01
Perch,182.0,27.02,29.82,31.92,8.94,4.95
Parkki,82.8,15.0,16.28,18.22,6.81,2.46
Bream,350.0,19.95,21.49,25.34,9.96,3.47
Perch,133.9,21.12,23.18,24.72,6.03,3.73
Parkki,232.0,31.68,34.4,38.56,15.58,5.05
Roach,157.5,21.42,23.1,25.93,6.09,3.94
Smelt,13.27,11.58,12.28,13.37,2.41,1.26
Bream,595.2,30.24,33.12,38.11,14.9,5.07
Pike,550.0,46.2,49.5,52.8,7.66,5.39
Roach,112.0,14.35,15.75,17.71,4.92,2.67
Roach,153.0,20.81,22.44,25.19,5.92,3.83
Whitefish,1200.0,50.55,54.6,59.4,17.64,9.86
Perch,1092.0,42.25,45.5,48.49,14.93,10.13
Smelt,10.09,11.74,12.36,13.6,2.27,1.18
Smelt,9.8,11.07,11.56,12.84,2.17,1.26
Parkki,147.0,18.03,19.6,21.95,8.71,3.23
Perch,56.0,12.56,13.92,14.8,3.67,2.35
Whitefish,58.3,14.31,15.58,17.49,7.26,2.47
Bream,693.6,32.44,35.7,41.41,15.78,6.25
Roach,163.5,22.24,23.98,26.92,6.33,4.09
Bream,1062.75,40.77,44.69,50.03,20.31,7.35
Whitefish,756.0,39.9,43.4,47.6,15.04,9.19
Smelt,7.7,11.11,11.66,12.76,1.9,1.26
Parkki,192.0,28.0,30.4,34.08,13.43,4.67
Roach,155.2,20.47,21.82,24.25,6.21,3.69
Perch,954.1,34.78,37.6,39.86,11.64,7.01
Perch,316.8,27.52,29.7,31.28,7.54,4.72
Parkki,354.9,29.9,32.5,36.4,14.41,5.39
Whitefish,540.0,28.5,31.0,34.0,10.74,6.56
Whitefish,502.2,26.51,28.83,31.62,9.99,6.1
Bream,837.2,31.85,35.04,40.13,16.41,5.74
Smelt,7.32,7.26,7.8,8.28,1.37,0.75
Bream,642.0,31.46,34.24,39.8,16.52,5.97
Parkki,119.0,13.3,14.49,16.24,6.58,2.39
Whitefish,264.6,23.62,25.97,28.71,7.98,4.16
Whitefish,930.0,34.69,37.2,40.46,11.49,6.07
Pike,555.9,43.6,46.33,49.6,7.44,4.86
Bream,1040.95,38.15,41.97,47.96,19.71,6.86
Smelt,13.94,12.17,12.9,14.04,2.53,1.32
Roach,148.5,20.2,21.78,24.45,5.75,3.72
Whitefish,432.0,38.56,42.4,46.88,13.03,6.8
Roach,55.2,13.2,14.56,16.24,4.24,2.26
Roach,241.5,33.0,35.1,40.05,10.37,5.45
Whitefish,600.0,22.38,24.0,26.1,7.41,3.92
Pike,1441.5,52.08,55.8,59.52,8.93,5.71
Perch,147.9,22.44,24.48,26.01,6.5,3.9
Parkki,256.62,21.62,23.5,26.32,10.42,3.9
Roach,140.0,21.0,22.5,25.0,6.55,3.33
Bream,360.0,22.08,24.0,28.08,11.2,3.88
Parkki,191.1,16.1,17.5,19.6,7.76,2.9
Parkki,159.8,17.86,19.46,21.81,8.83,3.21
Bream,850.0,32.8,36.0,41.6,16.89,6.2
Roach,136.5,18.56,20.02,22.48,5.28,3.42
Perch,122.2,18.8,20.68,22.09,5.74,3.31
Parkki,174.0,23.76,25.8,28.92,11.68,3.79
Parkki,8.26,10.5,11.76,12.32,2.96,1.97
Smelt,13.05,12.31,13.05,14.34,2.24,1.49
Parkki,303.0,24.24,26.26,29.29,11.48,4.28
Smelt,12.32,12.22,13.13,13.94,2.3,1.27
Parkki,149.35,20.39,22.14,24.82,10.03,3.25
Perch,1166.0,41.34,44.52,47.28,13.57,7.28
Pike,746.9,43.46,46.56,49.66,7.45,5.21
Whitefish,496.8,26.22,28.52,31.28,9.88,6.04
Whitefish,183.6,15.36,16.8,18.48,5.27,2.81
Pike,1225.0,50.96,54.88,58.51,10.47,6.85
Pike,1500.0,62.4,67.2,71.64,12.82,8.38
Parkki,260.0,27.56,29.9,33.54,13.45,4.76
Roach,370.5,28.02,30.11,33.25,9.01,5.09
Roach,252.96,23.25,25.11,28.46,7.97,4.44
Whitefish,880.0,37.07,40.04,43.56,12.94,7.23
Whitefish,82.5,20.25,22.05,24.75,10.27,3.49
Bream,989.75,38.73,42.27,48.47,20.07,7.22
Whitefish,291.6,26.03,28.62,31.64,8.8,4.59
Parkki,158.1,17.67,19.25,21.58,8.74,3.17
Whitefish,1040.0,43.81,47.32,51.48,15.29,8.55
Pike,638.4,56.0,59.5,63.7,10.19,6.05
Whitefish,52.25,12.82,13.96,15.67,6.51,2.21
Roach,67.62,16.17,17.84,19.89,5.19,2.77
Parkki,184.0,19.5,21.16,23.74,9.52,3.37
Smelt,13.58,14.56,15.4,16.8,3.07,1.93
Roach,90.48,18.93,20.59,23.09,5.84,3.3
Pike,1732.5,61.95,66.57,71.4,11.35,7.85
Perch,63.7,14.29,15.83,16.84,4.18,2.68
Whitefish,333.54,27.9,30.52,33.57,9.57,5.1
Parkki,140.65,19.21,20.86,23.38,9.44,3.06
Parkki,182.0,19.29,20.93,23.48,9.41,3.33
Bream,1241.5,45.5,50.05,57.2,23.51,8.18
Parkki,136.3,18.61,20.21,22.65,9.15,2.97
Pike,391.3,32.3,34.58,36.86,6.63,4.16
Bream,1146.0,42.0,46.2,52.8,21.7,7.55
Smelt,15.86,15.73,16.9,17.94,2.96,1.63
Parkki,154.0,20.9,22.77,25.52,9.39,3.62
Smelt,21.08,14.12,15.3,16.26,3.07,2.21
Whitefish,640.0,26.96,29.12,31.68,9.41,5.26
Roach,176.0,30.56,33.28,36.96,9.87,5.43
Whitefish,1060.0,39.54,42.4,46.11,13.1,6.92
Roach,108.0,14.16,15.12,16.74,4.25,2.34
Whitefish,950.0,35.43,38.0,41.32,11.74,6.2
Pike,1875.0,78.0,84.0,89.55,16.03,10.48
Parkki,300.0,31.8,34.5,38.7,15.52,5.5
Smelt,15.68,18.24,19.2,21.12,3.53,1.84
Whitefish,848.0,35.72,38.58,41.98,12.47,6.97
Parkki,7.08,9.0,10.08,10.56,2.53,1.69
Smelt,19.7,13.2,14.3,15.2,2.87,2.07
Whitefish,577.8,30.5,33.17,36.38,11.5,7.02
Roach,212.0,23.43,24.91,28.41,7.84,4.37
Smelt,13.3,12.54,13.3,14.61,2.28,1.52
Perch,158.05,23.98,26.16,27.8,6.95,4.17
Perch,237.5,24.6,26.6,27.93,7.43,3.99
Roach,204.0,22.54,23.97,27.34,7.54,4.21
Perch,936.0,37.96,40.56,43.06,11.58,7.79
Smelt,18.51,12.83,13.95,15.07,2.73,1.75
Parkki,248.43,20.93,22.75,25.48,10.09,3.77
Whitefish,55.55,13.63,14.85,16.66,6.92,2.35
Pike,1732.5,61.95,66.57,71.4,11.35,7.85
Pike,434.3,35.85,38.38,40.91,7.36,4.62
Pike,500.0,42.0,45.0,48.0,6.96,4.9
Whitefish,784.0,33.03,35.67,38.81,11.53,6.44
Pike,358.8,37.44,40.04,42.64,6.65,4.14
Roach,82.65,17.29,18.81,21.09,5.34,3.02
Whitefish,1120.0,47.18,50.96,55.44,16.47,9.2
Bream,441.0,27.05,29.4,34.4,13.72,4.75
Roach,149.8,22.47,24.08,26.75,7.01,3.56
Smelt,11.59,11.49,12.35,13.11,2.16,1.19
Whitefish,259.2,23.14,25.44,28.13,7.82,4.08
Whitefish,1040.0,43.81,47.32,51.48,15.29,8.55
